id,exam_id,question_id,sort_order,points,created_at
ee1d4b24-55e3-58f0-a022-cb2d38a616b8,9a1923df-ab9a-5720-8fc2-70fcbd3a6a8c,23b13ce6-e12a-5f23-85ad-45d53ad14fa4,2,1,2026-06-24T12:00:00+00:00
922ea678-a662-568c-883c-b6642c68bbcd,9a1923df-ab9a-5720-8fc2-70fcbd3a6a8c,c061312e-65ca-588c-a86a-1a60f7da740b,3,2,2026-06-24T12:00:00+00:00
4c872f7d-2c34-55e6-9d36-7bd66e42e84a,f35a6f85-63cf-5c48-9b4f-cb5883f1f358,0efa9ed1-747b-5db2-a7da-a46ac38fa4ce,1,1,2026-06-24T12:00:00+00:00
41ae72c2-6ce7-5b38-8088-c5deebe9a2b8,f35a6f85-63cf-5c48-9b4f-cb5883f1f358,8e972506-205e-5d0c-9ba6-b83cf3a1669b,2,1,2026-06-24T12:00:00+00:00
2afa4291-99a9-5b4c-b762-48c278d25d27,f35a6f85-63cf-5c48-9b4f-cb5883f1f358,c1f351e9-727c-50e6-abaf-d63d317ad2da,3,2,2026-06-24T12:00:00+00:00
9e75ed50-631f-5a05-bebf-db44160f7f63,a3721c06-109f-52fc-b06d-4d9abf44948c,cc90debb-f384-5fd9-83f4-d6034d0b7e5d,1,1,2026-06-24T12:00:00+00:00
178badd5-2c0e-5215-b6f3-3f512dd6c3fe,a3721c06-109f-52fc-b06d-4d9abf44948c,b813e0e7-d245-5c1b-8b2c-6fb00150f373,2,1,2026-06-24T12:00:00+00:00
164b4794-45c5-5b12-bb9e-e64b793f82ba,a3721c06-109f-52fc-b06d-4d9abf44948c,11120931-1a66-534b-8946-8ea3e3e12cfc,3,2,2026-06-24T12:00:00+00:00
7b296c6e-90bd-5720-83af-aa937cb50855,3aaec212-2b73-523f-add4-ae2b83096082,83a45133-3e89-5a61-9ae9-349e9dadb4d3,1,1,2026-06-24T12:00:00+00:00
3c7c88a1-bbfd-5b25-8017-b98edad6059a,3aaec212-2b73-523f-add4-ae2b83096082,907c51c1-5882-52c0-baf5-2173abab0699,2,1,2026-06-24T12:00:00+00:00
c6ce19a3-09e0-5968-a1e3-a9e28846a124,3aaec212-2b73-523f-add4-ae2b83096082,93de94de-fe67-57a2-a0e8-9a035636a869,3,2,2026-06-24T12:00:00+00:00
bc6aeaad-6276-5de2-8541-d1cf25abbb73,002af13a-efea-50f6-9c93-e12bf20f5a12,5e36022e-62cb-555f-92d4-f4f6cfc9f97b,1,1,2026-06-24T12:00:00+00:00
6fb50d2f-ebd0-5860-88cd-2eeaad839d68,002af13a-efea-50f6-9c93-e12bf20f5a12,80bb8303-ed9b-5beb-996e-272666474668,2,1,2026-06-24T12:00:00+00:00
2c8941f8-a884-57e0-8cf5-bd544868a9e7,002af13a-efea-50f6-9c93-e12bf20f5a12,020574cb-8464-5441-be2e-ffba9224c6c0,3,2,2026-06-24T12:00:00+00:00
37c8ee46-fcb5-5366-8372-a0748bfedd7c,49ce5ad8-12e1-5c5b-92fc-8ae8c2398dab,2ad557cf-9d04-5f6a-a340-25dc44b4a294,1,1,2026-06-24T12:00:00+00:00
2208aee2-23ad-50be-a7bb-e2621801b43c,49ce5ad8-12e1-5c5b-92fc-8ae8c2398dab,ef85fd96-232c-56fa-a3c6-fba78d8e2b35,2,1,2026-06-24T12:00:00+00:00
3c83aab4-bc8e-5e41-923c-e87e6dadcf45,49ce5ad8-12e1-5c5b-92fc-8ae8c2398dab,cac9b1ee-d2d3-5cfd-9925-636faec8e545,3,2,2026-06-24T12:00:00+00:00
97fd5bdc-2098-5c62-845d-bcf2130eebe4,cae1b9aa-9e95-54ff-8c19-c735eaf5b5bc,1e611a37-00d6-538a-a2f3-9aefa606d14c,1,1,2026-06-24T12:00:00+00:00
ce6364aa-646b-5397-af58-2f174f4221ba,cae1b9aa-9e95-54ff-8c19-c735eaf5b5bc,3c230f2f-7d2b-53ea-902d-7bc078f22f2a,2,1,2026-06-24T12:00:00+00:00
e97cf9d0-cc57-50e5-8567-0abfa378bcdb,cae1b9aa-9e95-54ff-8c19-c735eaf5b5bc,b23e5c3b-3528-58d2-ba43-0c939007ba8c,3,2,2026-06-24T12:00:00+00:00
3c3aca82-844c-5336-b0be-8c7429566ec9,1417bfcb-f7ca-5810-ac5d-86462dd47275,58ce2d03-ef9a-575d-9730-612678645bed,1,1,2026-06-24T12:00:00+00:00
784b45eb-f509-5ab6-8eff-1cadfc34ee0f,1417bfcb-f7ca-5810-ac5d-86462dd47275,cfc339c5-f1e0-57a7-9bad-aeaa2e403524,2,1,2026-06-24T12:00:00+00:00
b0b4e2fc-7449-5fe2-a665-25f74243ea10,1417bfcb-f7ca-5810-ac5d-86462dd47275,7e6c8945-3cc7-56a6-966c-9ffb982dca47,3,2,2026-06-24T12:00:00+00:00
f3af158e-2b10-5b5d-affa-bfd3e6f5829f,156b6e7a-2ef8-522f-a31d-7cf9cd3b3a3b,34b1c701-e868-55b5-93af-31fc2491fcc3,1,1,2026-06-24T12:00:00+00:00
b7b23b10-4320-5145-987b-a8c2131dc6f4,156b6e7a-2ef8-522f-a31d-7cf9cd3b3a3b,ccec8060-00df-584b-a088-b0959e430518,2,1,2026-06-24T12:00:00+00:00
652c2008-3e95-5fde-9c54-172e97044b71,156b6e7a-2ef8-522f-a31d-7cf9cd3b3a3b,53e464a8-4093-506f-a9bd-603d069606f1,3,2,2026-06-24T12:00:00+00:00
