id,student_id,parent_id,relation_type,is_primary_contact,created_at
70735a90-d144-5c39-beb8-b79ce259127f,7cdb9969-257d-5a8b-b334-9e6cd1df0a9b,d3ca627f-735e-5fd0-aad1-dcedc6a689aa,mother,True,2026-06-22T12:00:00+00:00
90d48ef5-8207-567a-9530-ac1f1d0129d5,7cdb9969-257d-5a8b-b334-9e6cd1df0a9b,12266026-d042-553c-9ab4-8aab7613a05f,father,False,2026-06-22T12:00:00+00:00
bfccb571-bca0-5ddf-9fcd-d7bba000a1bc,722adce2-2e9c-5d52-9824-a4ad994629a0,13b2570a-dc8b-577e-b30b-bb6db4a860ab,mother,True,2026-06-22T12:00:00+00:00
25d7510d-3865-56ca-97fc-4b95480efaba,722adce2-2e9c-5d52-9824-a4ad994629a0,6a6f25dd-8af0-5ce5-91fa-4fefe91818d1,father,False,2026-06-22T12:00:00+00:00
63e2aa49-0e00-587e-b7b0-add7a89adcb0,b0ad67ec-028e-54c3-ad99-33f6c2e3950b,9a4b94bb-051b-5ba5-b715-4fe2259e9e1a,mother,True,2026-06-22T12:00:00+00:00
ff063b8f-5831-5383-9172-44be870f035e,b0ad67ec-028e-54c3-ad99-33f6c2e3950b,5b4e57d6-e577-5491-9d81-cbc50e2f816f,father,False,2026-06-22T12:00:00+00:00
c946b901-5957-5620-8e00-29cb8926d7fa,19d3112c-1827-56db-878c-f2a5ab109fef,9a36579b-7013-5d30-8470-5d5a108c48d9,mother,True,2026-06-22T12:00:00+00:00
65a7ccf8-0920-554f-bb6f-23c9cf0371d9,19d3112c-1827-56db-878c-f2a5ab109fef,a4d78f1a-cc18-5a89-965f-b190bc6f3abc,father,False,2026-06-22T12:00:00+00:00
51a825aa-840c-5ac7-8adc-5acbd9074a6c,e31ee047-9fcf-5191-85c8-a327759b9117,8a74b370-4231-572d-8021-ad20bc76b52c,mother,True,2026-06-22T12:00:00+00:00
2edb1f81-621d-52b9-9c59-dcc462cd361a,e31ee047-9fcf-5191-85c8-a327759b9117,c0b8dfbd-7034-5378-a3dc-b310a48f5d82,father,False,2026-06-22T12:00:00+00:00
b318183b-8cbb-5328-8584-d15f0e9338eb,297ed6d5-1739-5b3f-865b-157e64c6aa72,6b9274aa-b36e-5ea5-972d-c0b7d378810f,mother,True,2026-06-22T12:00:00+00:00
43dfb221-8df3-5bf1-8e07-31d255698f50,297ed6d5-1739-5b3f-865b-157e64c6aa72,e835529f-c5d2-5f57-98ea-35af28ccfde5,father,False,2026-06-22T12:00:00+00:00
faf2caad-1765-5923-a750-e0a8000ac750,9742c1bd-f947-595c-8a76-6d2d6bb4f8ae,1dfcbb92-28fd-585f-9da0-4b1835be6f9e,mother,True,2026-06-22T12:00:00+00:00
cea1f606-bdc3-5ae0-a345-7006d122e3c6,9742c1bd-f947-595c-8a76-6d2d6bb4f8ae,d4e88279-aaa7-58c2-8168-8425efaa364a,father,False,2026-06-22T12:00:00+00:00
b6509287-cc30-5120-a04b-a97d6324730d,715acd9a-f33f-56bf-bb7f-e062a50e49c2,08b71b70-b2e8-5d5b-888c-08ed7fbf0091,mother,True,2026-06-22T12:00:00+00:00
4d05e031-fb8a-5280-8847-a3f0bb80eb0b,715acd9a-f33f-56bf-bb7f-e062a50e49c2,c73290de-8f20-5f02-81b3-1eee3418497c,father,False,2026-06-22T12:00:00+00:00
083d6a15-a6b4-55a4-a013-a82c05b6e32a,93a5c18f-9a69-56ce-bdf0-11b05275cb5b,37dec341-9060-5481-ba0a-6844859fd3a2,mother,True,2026-06-22T12:00:00+00:00
8ec3be14-984f-5886-a0fa-9b2b233013c7,93a5c18f-9a69-56ce-bdf0-11b05275cb5b,609a1f42-01ef-54c4-a25b-125de86f2cba,father,False,2026-06-22T12:00:00+00:00
7fea3f96-3a5d-5f9c-b76e-fb588dd70da7,66b9fb96-5772-5b8f-8365-7854f1500c39,0b61765b-1fb1-5a99-968c-a44b222a5d48,mother,True,2026-06-22T12:00:00+00:00
03631bd8-0aaf-57ac-a731-7859f60610ff,66b9fb96-5772-5b8f-8365-7854f1500c39,a08e740e-cef5-58e2-b107-18b9df1c1724,father,False,2026-06-22T12:00:00+00:00
2d0450c1-0b53-549c-957f-d4acdd5951f8,e2e7b829-fe3b-5e74-ad87-ea812f8c5679,1948f4e3-385f-5c8d-b700-e030a26959f6,mother,True,2026-06-22T12:00:00+00:00
8590e2ae-adac-5336-9e2d-81328cfc2854,e2e7b829-fe3b-5e74-ad87-ea812f8c5679,a1a4fb1d-5a07-577d-8fc4-225a22f93606,father,False,2026-06-22T12:00:00+00:00
56b83675-8164-50d0-ba37-a3465d45065f,7c25047c-155f-540e-8994-b5e7827781a6,5a66f03f-8ac5-5db8-bb00-0c64986e2458,mother,True,2026-06-22T12:00:00+00:00
98ecd92c-af88-564f-839d-b0a7187b3f4b,7c25047c-155f-540e-8994-b5e7827781a6,4384f2db-a9ee-5531-810b-bbc7f1bcafac,father,False,2026-06-22T12:00:00+00:00
636e1e10-54e2-5503-b479-545578b50955,12be05b1-6fbc-51d8-8d10-5f0e3a3819b2,ecd7315b-0a26-537d-a9c6-e2e8ead2a000,mother,True,2026-06-22T12:00:00+00:00
77a7079f-46e0-5cc8-ab22-5ee927236056,12be05b1-6fbc-51d8-8d10-5f0e3a3819b2,f8f00a0d-4da0-562e-b6a5-ec9a0aae1507,father,False,2026-06-22T12:00:00+00:00
954ee073-c141-5803-94cc-d58089fdf469,16205a9f-52f9-58c0-b223-913ad167914e,f91aa405-bdaf-5abe-bc4d-4937b1034c0e,mother,True,2026-06-22T12:00:00+00:00
7508e931-b582-5239-aab7-61e905597ca6,16205a9f-52f9-58c0-b223-913ad167914e,e8990c46-19a7-525f-a006-8395f9be0015,father,False,2026-06-22T12:00:00+00:00
18ead0ed-7135-5f89-93d9-e6add7f8c5a8,a387b82e-831a-5dfb-b759-3aab1d31f5aa,4a57cedb-cb7d-5038-971d-11b5591eefcc,mother,True,2026-06-22T12:00:00+00:00
765fb3e7-af5e-5c19-a289-056e3ce11e30,a387b82e-831a-5dfb-b759-3aab1d31f5aa,5387cb4f-bda1-5871-b913-cb11dda32b8a,father,False,2026-06-22T12:00:00+00:00
