id,analysis_id,topic_id,type,confidence_score,created_at
fb145d2e-f205-5d14-946e-77c7b68b27b0,9fac19ca-d92d-53b8-b907-67c18759c44f,57aced98-bcdc-5b38-9a40-531b8d76f6a1,strong,0.783,2026-06-23T12:00:00+00:00
0340d140-cdf2-5a41-8416-726e2e6c70b9,b712ce3a-b4c4-56f7-9ebd-8fb23a3af0c1,eef7167c-f87a-59d0-bb1e-82dc5473bef3,strong,0.747,2026-06-23T12:00:00+00:00
fb1f81d7-7fd3-5e4d-8983-557076c6b88c,b712ce3a-b4c4-56f7-9ebd-8fb23a3af0c1,1315c5fd-5d36-50df-b379-5584de015091,strong,0.807,2026-06-23T12:00:00+00:00
273998a6-3c90-50a7-8289-32c5ddb746a9,b712ce3a-b4c4-56f7-9ebd-8fb23a3af0c1,57aced98-bcdc-5b38-9a40-531b8d76f6a1,strong,0.956,2026-06-23T12:00:00+00:00
16e98648-5643-5d05-9fd0-40bb192a7f84,5d9eac36-3b69-5d57-b5b8-72d522b95a96,eef7167c-f87a-59d0-bb1e-82dc5473bef3,strong,0.951,2026-06-23T12:00:00+00:00
a1669a0f-4419-5e39-a5a0-699ae328124a,5d9eac36-3b69-5d57-b5b8-72d522b95a96,1315c5fd-5d36-50df-b379-5584de015091,missed,0.943,2026-06-23T12:00:00+00:00
aeb4e1cd-4e5f-5a7d-b605-074be3692de1,5d9eac36-3b69-5d57-b5b8-72d522b95a96,57aced98-bcdc-5b38-9a40-531b8d76f6a1,strong,0.901,2026-06-23T12:00:00+00:00
c1624ad7-172c-556b-88f8-8355cb9e99e6,974c4bdd-2515-549f-932a-858012aa26f1,eef7167c-f87a-59d0-bb1e-82dc5473bef3,strong,0.890,2026-06-23T12:00:00+00:00
43562691-0551-5ee7-8a82-2ee2719d9159,974c4bdd-2515-549f-932a-858012aa26f1,1315c5fd-5d36-50df-b379-5584de015091,strong,0.734,2026-06-23T12:00:00+00:00
02a9ae2b-f7f9-503b-a971-427a5053fe75,974c4bdd-2515-549f-932a-858012aa26f1,57aced98-bcdc-5b38-9a40-531b8d76f6a1,strong,0.736,2026-06-23T12:00:00+00:00
ff9c3bb8-a499-54b0-bc55-6a61f75fb592,846a556e-f8c8-52c7-b725-0c413b364c8f,eef7167c-f87a-59d0-bb1e-82dc5473bef3,strong,0.805,2026-06-23T12:00:00+00:00
ad965898-09f7-570d-8deb-634a5a2f235b,846a556e-f8c8-52c7-b725-0c413b364c8f,1315c5fd-5d36-50df-b379-5584de015091,strong,0.819,2026-06-23T12:00:00+00:00
ce458a4d-d50d-563d-8e74-5c03a3d9c09f,846a556e-f8c8-52c7-b725-0c413b364c8f,57aced98-bcdc-5b38-9a40-531b8d76f6a1,strong,0.927,2026-06-23T12:00:00+00:00
1ba76bc7-b342-5212-acb7-dd7432ad9dea,9c841cfe-6a10-5f3c-87f4-945c74cc94c7,eef7167c-f87a-59d0-bb1e-82dc5473bef3,strong,0.930,2026-06-23T12:00:00+00:00
bc54ac2f-d4a2-503e-8061-d2696c3d6565,9c841cfe-6a10-5f3c-87f4-945c74cc94c7,1315c5fd-5d36-50df-b379-5584de015091,strong,0.738,2026-06-23T12:00:00+00:00
9896d90f-f4cd-573b-bcb3-ef697953a7cc,9c841cfe-6a10-5f3c-87f4-945c74cc94c7,57aced98-bcdc-5b38-9a40-531b8d76f6a1,strong,0.914,2026-06-23T12:00:00+00:00
a9dcf2c6-354c-502c-a8c3-a588d17fc323,7f3ab5e4-4d4e-55b6-b432-9bf107968d8c,de8cbdd7-58bc-5046-b5a9-5123cc6a4f37,strong,0.784,2026-06-23T12:00:00+00:00
9b78ab27-862d-5bcd-a273-ea480c3ade8e,7f3ab5e4-4d4e-55b6-b432-9bf107968d8c,e5364019-c2ee-5b46-ae2e-abff08deaaf1,missed,0.908,2026-06-23T12:00:00+00:00
63233f67-5e28-576a-ad89-f8c15fdb9fe3,7f3ab5e4-4d4e-55b6-b432-9bf107968d8c,a3136ca7-0bdb-5dbc-a6fc-fbc6ccee97e8,strong,0.829,2026-06-23T12:00:00+00:00
c900bad3-8347-512a-b522-4ecd60447cc6,ac0bf68a-3c77-5abc-8a73-99c22c4cdfc6,de8cbdd7-58bc-5046-b5a9-5123cc6a4f37,strong,0.734,2026-06-23T12:00:00+00:00
e274e4a7-0827-5a4f-87ff-1af3774aa105,ac0bf68a-3c77-5abc-8a73-99c22c4cdfc6,e5364019-c2ee-5b46-ae2e-abff08deaaf1,missed,0.842,2026-06-23T12:00:00+00:00
da3d43d8-059b-53ac-85bc-654fa5076067,ac0bf68a-3c77-5abc-8a73-99c22c4cdfc6,a3136ca7-0bdb-5dbc-a6fc-fbc6ccee97e8,strong,0.924,2026-06-23T12:00:00+00:00
21697ca2-3d09-50a7-aafb-a74d68a0b7f4,87b5d573-4180-5e51-bb1c-41ce8d55c06d,de8cbdd7-58bc-5046-b5a9-5123cc6a4f37,strong,0.777,2026-06-23T12:00:00+00:00
483b70bf-c13e-5962-9b47-40ddcf247825,87b5d573-4180-5e51-bb1c-41ce8d55c06d,e5364019-c2ee-5b46-ae2e-abff08deaaf1,strong,0.815,2026-06-23T12:00:00+00:00
a6da6651-c508-5b0c-8083-b54bf9c6b7ed,87b5d573-4180-5e51-bb1c-41ce8d55c06d,a3136ca7-0bdb-5dbc-a6fc-fbc6ccee97e8,strong,0.881,2026-06-23T12:00:00+00:00
a2288ce8-2447-52ba-8410-ba58ae9638e1,c8d67b94-b498-5f91-a256-ff0ca8937f1d,de8cbdd7-58bc-5046-b5a9-5123cc6a4f37,strong,0.809,2026-06-23T12:00:00+00:00
34bc53c7-29bb-56af-b8bf-e123af822d51,c8d67b94-b498-5f91-a256-ff0ca8937f1d,e5364019-c2ee-5b46-ae2e-abff08deaaf1,missed,0.758,2026-06-23T12:00:00+00:00
6f1471a7-562b-59bf-9240-a2facb784e39,c8d67b94-b498-5f91-a256-ff0ca8937f1d,a3136ca7-0bdb-5dbc-a6fc-fbc6ccee97e8,strong,0.920,2026-06-23T12:00:00+00:00
cbfd4283-8617-525d-bc41-5ed3881715f4,2b536244-880c-5086-9185-c9fae2529d18,de8cbdd7-58bc-5046-b5a9-5123cc6a4f37,strong,0.892,2026-06-23T12:00:00+00:00
bb145e25-dd38-5ebf-a934-d391800aae63,2b536244-880c-5086-9185-c9fae2529d18,e5364019-c2ee-5b46-ae2e-abff08deaaf1,strong,0.769,2026-06-23T12:00:00+00:00
a935e798-5bbb-5440-b376-e42d96abf4fa,2b536244-880c-5086-9185-c9fae2529d18,a3136ca7-0bdb-5dbc-a6fc-fbc6ccee97e8,strong,0.872,2026-06-23T12:00:00+00:00
87c2bafe-5cfb-549d-ad1d-c80694c13ed9,a69cc78b-77ee-5b3d-b82f-dd39131bd012,de8cbdd7-58bc-5046-b5a9-5123cc6a4f37,strong,0.855,2026-06-23T12:00:00+00:00
f6826991-6491-5206-909f-49e7902cb5a3,a69cc78b-77ee-5b3d-b82f-dd39131bd012,e5364019-c2ee-5b46-ae2e-abff08deaaf1,missed,0.747,2026-06-23T12:00:00+00:00
8265c978-002a-5b49-a5a7-68f925dae473,a69cc78b-77ee-5b3d-b82f-dd39131bd012,a3136ca7-0bdb-5dbc-a6fc-fbc6ccee97e8,strong,0.947,2026-06-23T12:00:00+00:00
614e804c-733e-5eb1-98f8-f41e858666ab,9d6ccd19-2e93-5e25-9fb9-c1a20da695b0,aebe2a23-a410-511f-b2aa-eee96cdd1016,strong,0.880,2026-06-23T12:00:00+00:00
87b3c4cc-d970-5b57-802b-fd179611a434,9d6ccd19-2e93-5e25-9fb9-c1a20da695b0,f821d64e-9479-5a50-ba17-d244b30512c9,strong,0.805,2026-06-23T12:00:00+00:00
ed9ca731-d67b-5ae6-bbfc-863adcf8e500,9d6ccd19-2e93-5e25-9fb9-c1a20da695b0,d75d2a25-e5cc-5164-9e19-90689432dfb6,strong,0.854,2026-06-23T12:00:00+00:00
dafe0f30-7e2f-59fe-a5e6-fbfc27411d93,b5f999d1-18fe-58b1-b60c-741058798332,aebe2a23-a410-511f-b2aa-eee96cdd1016,strong,0.913,2026-06-23T12:00:00+00:00
66e72c9c-f895-5f6c-ab7d-80a81b26b75e,b5f999d1-18fe-58b1-b60c-741058798332,f821d64e-9479-5a50-ba17-d244b30512c9,missed,0.927,2026-06-23T12:00:00+00:00
bd3ffad5-e9aa-50e1-a830-491f9b10f5ca,b5f999d1-18fe-58b1-b60c-741058798332,d75d2a25-e5cc-5164-9e19-90689432dfb6,strong,0.915,2026-06-23T12:00:00+00:00
8d028c8f-1825-5fca-a855-348d1315273f,f78ee4f5-a258-570b-9da0-70942cbad922,aebe2a23-a410-511f-b2aa-eee96cdd1016,strong,0.816,2026-06-23T12:00:00+00:00
044eca26-9139-5177-abf4-8bf18167c906,f78ee4f5-a258-570b-9da0-70942cbad922,f821d64e-9479-5a50-ba17-d244b30512c9,strong,0.787,2026-06-23T12:00:00+00:00
3630204e-bb34-5383-a2ce-23126c5b1084,f78ee4f5-a258-570b-9da0-70942cbad922,d75d2a25-e5cc-5164-9e19-90689432dfb6,strong,0.737,2026-06-23T12:00:00+00:00
ad58a8c8-c903-5c87-a2d5-c6cfc3ecc73c,2e4f1c7c-5df9-57e9-9a31-d89427c24815,aebe2a23-a410-511f-b2aa-eee96cdd1016,strong,0.825,2026-06-23T12:00:00+00:00
574368e1-be3d-5dd8-ac76-b2e6fde82f04,2e4f1c7c-5df9-57e9-9a31-d89427c24815,f821d64e-9479-5a50-ba17-d244b30512c9,strong,0.956,2026-06-23T12:00:00+00:00
d9186810-ea06-58b5-8d61-4dabd7156203,2e4f1c7c-5df9-57e9-9a31-d89427c24815,d75d2a25-e5cc-5164-9e19-90689432dfb6,strong,0.748,2026-06-23T12:00:00+00:00
f38a3538-04ab-532c-b969-859454e89f3d,6f4953d8-2553-507b-ba14-daa7cc51a875,aebe2a23-a410-511f-b2aa-eee96cdd1016,strong,0.842,2026-06-23T12:00:00+00:00
5d235c8d-2b62-5848-b4ba-80618a224381,6f4953d8-2553-507b-ba14-daa7cc51a875,f821d64e-9479-5a50-ba17-d244b30512c9,strong,0.880,2026-06-23T12:00:00+00:00
8d89dec8-059f-507c-b216-ae9c2c6aea5a,6f4953d8-2553-507b-ba14-daa7cc51a875,d75d2a25-e5cc-5164-9e19-90689432dfb6,strong,0.798,2026-06-23T12:00:00+00:00
b94a7a78-961a-534a-bb88-09467fe24ee0,c4af05a8-4160-5d57-bd4b-5d32d02758a4,aebe2a23-a410-511f-b2aa-eee96cdd1016,strong,0.909,2026-06-23T12:00:00+00:00
74a1ad37-c051-505b-9360-c89d3b837f8e,c4af05a8-4160-5d57-bd4b-5d32d02758a4,f821d64e-9479-5a50-ba17-d244b30512c9,missed,0.866,2026-06-23T12:00:00+00:00
f9237f4b-5261-5820-8c32-25759d29d889,c4af05a8-4160-5d57-bd4b-5d32d02758a4,d75d2a25-e5cc-5164-9e19-90689432dfb6,strong,0.797,2026-06-23T12:00:00+00:00
